id,name,filePath,startLine,endLine,isExported,content,description
"Class:trajectory_compressor.py:CompressionConfig","CompressionConfig","trajectory_compressor.py",54,150,true,"
@dataclass
class CompressionConfig:
    """"""Configuration for trajectory compression.""""""
    # Tokenizer
    tokenizer_name: str = ""moonshotai/Kimi-K2-Thinking""
    trust_remote_code: bool = True
    
    # Compression targets
    target_max_tokens: int = 15250
    summary_target_tokens: int = 750
    
    # Protected turns
    protect_first_system: bool = True
    protect_first_human: bool = True
    protect_first_gpt: bool = True
    protect_first_tool: bool = True
    protect_last_n_turns: int = 4
    
    # Summarization (OpenRouter)
    summarization_model: str = ""google/gemini-3-flash-preview""
    base_url: str = OPENROUTER_BASE_URL
    api_key_env: str = ""OPENROUTER_API_KEY""
    temperature: float = 0.3
    max_retries: int = 3
    retry_delay: int = 2
    
    # Output
    add_summary_notice: bool = True
    summary_notice_text: str = ""\n\nSome of your previous tool responses may be summarized to preserve context.""
    output_suffix: str = ""_compressed""
    
    # Processing
    num_workers: int = 4
    max_concurrent_requests: int = 50  # Max concurrent API calls for summarization
    skip_under_target: bool = True
    save_over_limit: bool = True
    per_trajectory_timeout: int = 300  # Timeout per trajectory in seconds (default: 5 min)
    
    # Metrics
    metrics_enabled: bool = True
    metrics_per_trajectory: bool = True
    metrics_output_file: str = ""compression_metrics.json""
    
    @classmethod
    def from_yaml(cls, yaml_path: str) -> ""CompressionConfig"":
        """"""Load configuration from YAML file.""""""
        with open(yaml_path, 'r') as f:
            data = yaml.safe_load(f)
        
        config = cls()
        
        # Tokenizer
        if 'tokenizer' in data:
            config.tokenizer_name = data['tokenizer'].get('name', config.tokenizer_name)
            config.trust_remote_code = data['tokenizer'].get('trust_remote_code', config.trust_remote_code)
        
        # Compression
        if 'compression' in data:
            config.target_max_tokens = data['compression'].get('target_max_tokens', config.target_max_tokens)
            config.summary_target_tokens = data['compression'].get('summary_target_tokens', config.summary_target_tokens)
        
        # Protected turns
        if 'protected_turns' in data:
            config.protect_first_system = data['protected_turns'].get('first_system', config.protect_first_system)
            config.protect_first_human = data['protected_turns'].get('first_human', config.protect_first_human)
            config.protect_first_gpt = data['protected_turns'].get('first_gpt', config.protect_first_gpt)
            config.protect_first_tool = data['protected_turns'].get('first_tool', config.protect_first_tool)
            config.protect_last_n_turns = data['protected_turns'].get('last_n_turns', config.protect_last_n_turns)
        
        # Summarization
        if 'summarization' in data:
            config.summarization_model = data['summarization'].get('model', config.summarization_model)
            config.base_url = data['summarization'].get('base_url') or config.base_url
            config.api_key_env = data['summarization'].get('api_key_env', config.api_key_env)
            config.temperature = data['summarization'].get('temperature', config.temperature)
            config.max_retries = data['summarization'].get('max_retries', config.max_retries)
            config.retry_delay = data['summarization'].get('retry_delay', config.retry_delay)
        
        # Output
        if 'output' in data:
            config.add_summary_notice = data['output'].get('add_summary_notice', config.add_summary_notice)
            config.summary_notice_text = data['output'].get('summary_notice_text', config.summary_notice_text)
            config.output_suffix = data['output'].get('output_suffix', config.output_suffix)
        
        # Processing
        if 'processing' in data:
            config.num_workers = data['processing'].get('num_workers', config.num_workers)
            config.max_concurrent_requests = data['processing'].get('max_concurrent_requests', config.max_concurrent_requests)
            config.skip_under_target = data['processing'].get('skip_under_target', config.skip_under_target)
            config.save_over_limit = data['processing'].get('save_over_limit', config.save_over_limit)
        
        # Metrics
        if 'metrics' in data:
            config.metrics_enabled = data['metrics'].get('enabled', config.metrics_enabled)
            config.metrics_per_trajectory = data['metrics'].get('per_trajectory', config.metrics_per_trajectory)
            config.metrics_output_file = data['metrics'].get('output_file', config.metrics_output_file)
        
        return config

",""
"Class:trajectory_compressor.py:TrajectoryMetrics","TrajectoryMetrics","trajectory_compressor.py",154,195,true,"
@dataclass
class TrajectoryMetrics:
    """"""Metrics for a single trajectory compression.""""""
    original_tokens: int = 0
    compressed_tokens: int = 0
    tokens_saved: int = 0
    compression_ratio: float = 1.0
    
    original_turns: int = 0
    compressed_turns: int = 0
    turns_removed: int = 0
    
    turns_compressed_start_idx: int = -1
    turns_compressed_end_idx: int = -1
    turns_in_compressed_region: int = 0
    
    was_compressed: bool = False
    still_over_limit: bool = False
    skipped_under_target: bool = False
    
    summarization_api_calls: int = 0
    summarization_errors: int = 0
    
    def to_dict(self) -> Dict[str, Any]:
        return {
            ""original_tokens"": self.original_tokens,
            ""compressed_tokens"": self.compressed_tokens,
            ""tokens_saved"": self.tokens_saved,
            ""compression_ratio"": round(self.compression_ratio, 4),
            ""original_turns"": self.original_turns,
            ""compressed_turns"": self.compressed_turns,
            ""turns_removed"": self.turns_removed,
            ""compression_region"": {
                ""start_idx"": self.turns_compressed_start_idx,
                ""end_idx"": self.turns_compressed_end_idx,
                ""turns_count"": self.turns_in_compressed_region,
            },
            ""was_compressed"": self.was_compressed,
            ""still_over_limit"": self.still_over_limit,
            ""skipped_under_target"": self.skipped_under_target,
            ""summarization_api_calls"": self.summarization_api_calls,
            ""summarization_errors"": self.summarization_errors,
        }

",""
"Class:trajectory_compressor.py:AggregateMetrics","AggregateMetrics","trajectory_compressor.py",199,300,true,"
@dataclass 
class AggregateMetrics:
    """"""Aggregate metrics across all trajectories.""""""
    total_trajectories: int = 0
    trajectories_compressed: int = 0
    trajectories_skipped_under_target: int = 0
    trajectories_still_over_limit: int = 0
    trajectories_failed: int = 0
    
    total_tokens_before: int = 0
    total_tokens_after: int = 0
    total_tokens_saved: int = 0
    
    total_turns_before: int = 0
    total_turns_after: int = 0
    total_turns_removed: int = 0
    
    total_summarization_calls: int = 0
    total_summarization_errors: int = 0
    
    # Distribution stats
    compression_ratios: List[float] = field(default_factory=list)
    tokens_saved_list: List[int] = field(default_factory=list)
    turns_removed_list: List[int] = field(default_factory=list)
    
    processing_start_time: str = """"
    processing_end_time: str = """"
    processing_duration_seconds: float = 0.0
    
    def add_trajectory_metrics(self, metrics: TrajectoryMetrics):
        """"""Add a trajectory's metrics to the aggregate.""""""
        self.total_trajectories += 1
        self.total_tokens_before += metrics.original_tokens
        self.total_tokens_after += metrics.compressed_tokens
        self.total_tokens_saved += metrics.tokens_saved
        self.total_turns_before += metrics.original_turns
        self.total_turns_after += metrics.compressed_turns
        self.total_turns_removed += metrics.turns_removed
        self.total_summarization_calls += metrics.summarization_api_calls
        self.total_summarization_errors += metrics.summarization_errors
        
        if metrics.was_compressed:
            self.trajectories_compressed += 1
            self.compression_ratios.append(metrics.compression_ratio)
            self.tokens_saved_list.append(metrics.tokens_saved)
            self.turns_removed_list.append(metrics.turns_removed)
        
        if metrics.skipped_under_target:
            self.trajectories_skipped_under_target += 1
        
        if metrics.still_over_limit:
            self.trajectories_still_over_limit += 1
    
    def to_dict(self) -> Dict[str, Any]:
        avg_compression_ratio = (
            sum(self.compression_ratios) / len(self.compression_ratios) 
            if self.compression_ratios else 1.0
        )
        avg_tokens_saved = (
            sum(self.tokens_saved_list) / len(self.tokens_saved_list)
            if self.tokens_saved_list else 0
        )
        avg_turns_removed = (
            sum(self.turns_removed_list) / len(self.turns_removed_list)
            if self.turns_removed_list else 0
        )
        
        return {
            ""summary"": {
                ""total_trajectories"": self.total_trajectories,
                ""trajectories_compressed"": self.trajectories_compressed,
                ""trajectories_skipped_under_target"": self.trajectories_skipped_under_target,
                ""trajectories_still_over_limit"": self.trajectories_still_over_limit,
                ""trajectories_failed"": self.trajectories_failed,
                ""compression_rate"": round(self.trajectories_compressed / max(self.total_trajectories, 1), 4),
            },
            ""tokens"": {
                ""total_before"": self.total_tokens_before,
                ""total_after"": self.total_tokens_after,
                ""total_saved"": self.total_tokens_saved,
                ""overall_compression_ratio"": round(self.total_tokens_after / max(self.total_tokens_before, 1), 4),
            },
            ""turns"": {
                ""total_before"": self.total_turns_before,
                ""total_after"": self.total_turns_after,
                ""total_removed"": self.total_turns_removed,
            },
            ""averages"": {
                ""avg_compression_ratio"": round(avg_compression_ratio, 4),
                ""avg_tokens_saved_per_compressed"": round(avg_tokens_saved, 1),
                ""avg_turns_removed_per_compressed"": round(avg_turns_removed, 2),
            },
            ""summarization"": {
                ""total_api_calls"": self.total_summarization_calls,
                ""total_errors"": self.total_summarization_errors,
                ""success_rate"": round(1 - (self.total_summarization_errors / max(self.total_summarization_calls, 1)), 4),
            },
            ""processing"": {
                ""start_time"": self.processing_start_time,
                ""end_time"": self.processing_end_time,
                ""duration_seconds"": round(self.processing_duration_seconds, 2),
            },
        }

",""
"Class:trajectory_compressor.py:TrajectoryCompressor","TrajectoryCompressor","trajectory_compressor.py",303,1295,true,"

class TrajectoryCompressor:
    """"""
    Compresses agent trajectories to fit within a target token budget.
    
    Compression strategy:
    1. Keep protected head turns (system, human, first gpt+tool)
    2. Keep protected tail turns (last N turns)
    3. From the compressible middle region, compress only as much as needed
    4. Replace compressed turns with a single human summary message
    5. Keep remaining middle turns intact (model continues with tools)
    """"""
    
    def __init__(self, config: CompressionConfig):
        """"""Initialize the compressor.""""""
        self.config = config
        self.aggregate_metrics = AggregateMetrics()
        
        # Initialize tokenizer
        self._init_tokenizer()
        
        # Initialize OpenRouter client
        self._init_summarizer()
        
        logging.basicConfig(
            level=logging.INFO,
            format='%(asctime)s - %(levelname)s - %(message)s',
            datefmt='%H:%M:%S'
        )
        self.logger = logging.getLogger(__name__)
    
    def _init_tokenizer(self):
        """"""Initialize HuggingFace tokenizer for token counting.""""""
        try:
            from transformers import AutoTokenizer
            self.tokenizer = AutoTokenizer.from_pretrained(
                self.config.tokenizer_name,
                trust_remote_code=self.config.trust_remote_code
            )
            print(f""✅ Loaded tokenizer: {self.config.tokenizer_name}"")
        except Exception as e:
            raise RuntimeError(f""Failed to load tokenizer '{self.config.tokenizer_name}': {e}"")
    
    def _init_summarizer(self):
        """"""Initialize LLM routing for summarization (sync and async).

        Uses call_llm/async_call_llm from the centralized provider router
        which handles auth, headers, and provider detection internally.
        For custom endpoints, falls back to raw client construction.
        """"""

        provider = self._detect_provider()
        if provider:
            # Store provider for use in _generate_summary calls
            self._llm_provider = provider
            self._use_call_llm = True
            # Verify the provider is available
            from agent.auxiliary_client import resolve_provider_client
            client, _ = resolve_provider_client(
                provider, model=self.config.summarization_model)
            if client is None:
                raise RuntimeError(
                    f""Provider '{provider}' is not configured. ""
                    f""Check your API key or run: hermes setup"")
            self.client = None  # Not used directly
            self.async_client = None  # Not used directly
        else:
            # Custom endpoint — use config's raw base_url + api_key_env
            self._use_call_llm = False
            api_key = os.getenv(self.config.api_key_env)
            if not api_key:
                raise RuntimeError(
                    f""Missing API key. Set {self.config.api_key_env} ""
                    f""environment variable."")
            from openai import OpenAI
            self.client = OpenAI(
                api_key=api_key, base_url=self.config.base_url)
            # AsyncOpenAI is created lazily in _get_async_client() so it
            # binds to the current event loop — avoids ""Event loop is closed""
            # when process_directory() is called multiple times (each call
            # creates a new loop via asyncio.run()).
            self.async_client = None
            self._async_client_api_key = api_key

        print(f""✅ Initialized summarizer client: {self.config.summarization_model}"")
        print(f""   Max concurrent requests: {self.config.max_concurrent_requests}"")

    def _get_async_client(self):
        """"""Return an AsyncOpenAI client bound to the current event loop.

        Created lazily so that each ``asyncio.run()`` call in
        ``process_directory()`` gets a client tied to its own loop,
        avoiding ""Event loop is closed"" errors on repeated calls.
        """"""
        from openai import AsyncOpenAI
        # Always create a fresh client so it binds to the running loop.
        self.async_client = AsyncOpenAI(
            api_key=self._async_client_api_key,
            base_url=self.config.base_url,
        )
        return self.async_client

    def _detect_provider(self) -> str:
        """"""Detect the provider name from the configured base_url.""""""
        url = (self.config.base_url or """").lower()
        if ""openrouter"" in url:
            return ""openrouter""
        if ""nousresearch.com"" in url:
            return ""nous""
        if ""chatgpt.com/backend-api/codex"" in url:
            return ""codex""
        if ""api.z.ai"" in url:
            return ""zai""
        if ""moonshot.ai"" in url or ""api.kimi.com"" in url:
            return ""kimi-coding""
        if ""minimaxi.com"" in url:
            return ""minimax-cn""
        if ""minimax.io"" in url:
            return ""minimax""
        # Unknown base_url — not a known provider
        return ""
... [truncated]",""
"Class:run_agent.py:_SafeWriter","_SafeWriter","run_agent.py",112,158,false,"

class _SafeWriter:
    """"""Transparent stdio wrapper that catches OSError/ValueError from broken pipes.

    When hermes-agent runs as a systemd service, Docker container, or headless
    daemon, the stdout/stderr pipe can become unavailable (idle timeout, buffer
    exhaustion, socket reset). Any print() call then raises
    ``OSError: [Errno 5] Input/output error``, which can crash agent setup or
    run_conversation() — especially via double-fault when an except handler
    also tries to print.

    Additionally, when subagents run in ThreadPoolExecutor threads, the shared
    stdout handle can close between thread teardown and cleanup, raising
    ``ValueError: I/O operation on closed file`` instead of OSError.

    This wrapper delegates all writes to the underlying stream and silently
    catches both OSError and ValueError. It is transparent when the wrapped
    stream is healthy.
    """"""

    __slots__ = (""_inner"",)

    def __init__(self, inner):
        object.__setattr__(self, ""_inner"", inner)

    def write(self, data):
        try:
            return self._inner.write(data)
        except (OSError, ValueError):
            return len(data) if isinstance(data, str) else 0

    def flush(self):
        try:
            self._inner.flush()
        except (OSError, ValueError):
            pass

    def fileno(self):
        return self._inner.fileno()

    def isatty(self):
        try:
            return self._inner.isatty()
        except (OSError, ValueError):
            return False

    def __getattr__(self, name):
        return getattr(self._inner, name)

",""
"Class:run_agent.py:IterationBudget","IterationBudget","run_agent.py",169,210,true,"

class IterationBudget:
    """"""Thread-safe iteration counter for an agent.

    Each agent (parent or subagent) gets its own ``IterationBudget``.
    The parent's budget is capped at ``max_iterations`` (default 90).
    Each subagent gets an independent budget capped at
    ``delegation.max_iterations`` (default 50) — this means total
    iterations across parent + subagents can exceed the parent's cap.
    Users control the per-subagent limit via ``delegation.max_iterations``
    in config.yaml.

    ``execute_code`` (programmatic tool calling) iterations are refunded via
    :meth:`refund` so they don't eat into the budget.
    """"""

    def __init__(self, max_total: int):
        self.max_total = max_total
        self._used = 0
        self._lock = threading.Lock()

    def consume(self) -> bool:
        """"""Try to consume one iteration.  Returns True if allowed.""""""
        with self._lock:
            if self._used >= self.max_total:
                return False
            self._used += 1
            return True

    def refund(self) -> None:
        """"""Give back one iteration (e.g. for execute_code turns).""""""
        with self._lock:
            if self._used > 0:
                self._used -= 1

    @property
    def used(self) -> int:
        return self._used

    @property
    def remaining(self) -> int:
        with self._lock:
            return max(0, self.max_total - self._used)

",""
"Class:run_agent.py:AIAgent","AIAgent","run_agent.py",438,9503,true,"

class AIAgent:
    """"""
    AI Agent with tool calling capabilities.

    This class manages the conversation flow, tool execution, and response handling
    for AI models that support function calling.
    """"""

    # ── Class-level context pressure dedup (survives across instances) ──
    # The gateway creates a new AIAgent per message, so instance-level flags
    # reset every time.  This dict tracks {session_id: (warn_level, timestamp)}
    # to suppress duplicate warnings within a cooldown window.
    _context_pressure_last_warned: dict = {}
    _CONTEXT_PRESSURE_COOLDOWN = 300  # seconds between re-warning same session

    @property
    def base_url(self) -> str:
        return self._base_url

    @base_url.setter
    def base_url(self, value: str) -> None:
        self._base_url = value
        self._base_url_lower = value.lower() if value else """"

    def __init__(
        self,
        base_url: str = None,
        api_key: str = None,
        provider: str = None,
        api_mode: str = None,
        acp_command: str = None,
        acp_args: list[str] | None = None,
        command: str = None,
        args: list[str] | None = None,
        model: str = """",
        max_iterations: int = 90,  # Default tool-calling iterations (shared with subagents)
        tool_delay: float = 1.0,
        enabled_toolsets: List[str] = None,
        disabled_toolsets: List[str] = None,
        save_trajectories: bool = False,
        verbose_logging: bool = False,
        quiet_mode: bool = False,
        ephemeral_system_prompt: str = None,
        log_prefix_chars: int = 100,
        log_prefix: str = """",
        providers_allowed: List[str] = None,
        providers_ignored: List[str] = None,
        providers_order: List[str] = None,
        provider_sort: str = None,
        provider_require_parameters: bool = False,
        provider_data_collection: str = None,
        session_id: str = None,
        tool_progress_callback: callable = None,
        tool_start_callback: callable = None,
        tool_complete_callback: callable = None,
        thinking_callback: callable = None,
        reasoning_callback: callable = None,
        clarify_callback: callable = None,
        step_callback: callable = None,
        stream_delta_callback: callable = None,
        tool_gen_callback: callable = None,
        status_callback: callable = None,
        max_tokens: int = None,
        reasoning_config: Dict[str, Any] = None,
        prefill_messages: List[Dict[str, Any]] = None,
        platform: str = None,
        user_id: str = None,
        skip_context_files: bool = False,
        skip_memory: bool = False,
        session_db=None,
        parent_session_id: str = None,
        iteration_budget: ""IterationBudget"" = None,
        fallback_model: Dict[str, Any] = None,
        credential_pool=None,
        checkpoints_enabled: bool = False,
        checkpoint_max_snapshots: int = 50,
        pass_session_id: bool = False,
        persist_session: bool = True,
    ):
        """"""
        Initialize the AI Agent.

        Args:
            base_url (str): Base URL for the model API (optional)
            api_key (str): API key for authentication (optional, uses env var if not provided)
            provider (str): Provider identifier (optional; used for telemetry/routing hints)
            api_mode (str): API mode override: ""chat_completions"" or ""codex_responses""
            model (str): Model name to use (default: ""anthropic/claude-opus-4.6"")
            max_iterations (int): Maximum number of tool calling iterations (default: 90)
            tool_delay (float): Delay between tool calls in seconds (default: 1.0)
            enabled_toolsets (List[str]): Only enable tools from these toolsets (optional)
            disabled_toolsets (List[str]): Disable tools from these toolsets (optional)
            save_trajectories (bool): Whether to save conversation trajectories to JSONL files (default: False)
            verbose_logging (bool): Enable verbose logging for debugging (default: False)
            quiet_mode (bool): Suppress progress output for clean CLI experience (default: False)
            ephemeral_system_prompt (str): System prompt used during agent execution but NOT saved to trajectories (optional)
            log_prefix_chars (int): Number of characters to show in log previews for tool calls/responses (default: 100)
            log_prefix (str): Prefix to add to all log messages for identification in parallel processing (default: """")
            providers_allowed (List[str]): OpenRouter providers to allow (optional)
            providers_ignored (List[str]): OpenRouter providers to ignore (optional)
            providers_order (List[str]): OpenRouter providers to try in order (optional)
            provider_sort (str): Sort providers by price/throughput/latency (optional)
            session_id (str): Pre-generated session ID for logging (optional, auto-generated if not provided)
            tool_progress_call
... [truncated]",""
"Class:mini_swe_runner.py:MiniSWERunner","MiniSWERunner","mini_swe_runner.py",140,606,true,"# ============================================================================

class MiniSWERunner:
    """"""
    Agent runner that uses Hermes-Agent's built-in execution environments
    and outputs trajectories in Hermes-Agent format.
    """"""
    
    def __init__(
        self,
        model: str = ""anthropic/claude-sonnet-4.6"",
        base_url: str = None,
        api_key: str = None,
        env_type: str = ""local"",
        image: str = ""python:3.11-slim"",
        cwd: str = ""/tmp"",
        max_iterations: int = 15,
        command_timeout: int = 60,
        verbose: bool = False,
    ):
        """"""
        Initialize the Mini-SWE Runner.
        
        Args:
            model: Model name for OpenAI-compatible API
            base_url: API base URL (optional, uses env vars if not provided)
            api_key: API key (optional, uses env vars if not provided)
            env_type: Environment type - ""local"", ""docker"", or ""modal""
            image: Docker/Modal image (ignored for local)
            cwd: Working directory for commands
            max_iterations: Maximum tool-calling iterations
            command_timeout: Default timeout for commands
            verbose: Enable verbose logging
        """"""
        self.model = model
        self.max_iterations = max_iterations
        self.command_timeout = command_timeout
        self.verbose = verbose
        self.env_type = env_type
        self.image = image
        self.cwd = cwd
        
        # Setup logging
        logging.basicConfig(
            level=logging.DEBUG if verbose else logging.INFO,
            format='%(asctime)s - %(levelname)s - %(message)s',
            datefmt='%H:%M:%S'
        )
        self.logger = logging.getLogger(__name__)
        
        # Initialize LLM client via centralized provider router.
        # If explicit api_key/base_url are provided (e.g. from CLI args),
        # construct directly.  Otherwise use the router for OpenRouter.
        if api_key or base_url:
            from openai import OpenAI
            client_kwargs = {
                ""base_url"": base_url or ""https://openrouter.ai/api/v1"",
                ""api_key"": api_key or os.getenv(
                    ""OPENROUTER_API_KEY"",
                    os.getenv(""ANTHROPIC_API_KEY"",
                              os.getenv(""OPENAI_API_KEY"", """"))),
            }
            self.client = OpenAI(**client_kwargs)
        else:
            from agent.auxiliary_client import resolve_provider_client
            self.client, _ = resolve_provider_client(""openrouter"", model=model)
            if self.client is None:
                # Fallback: try auto-detection
                self.client, _ = resolve_provider_client(""auto"", model=model)
            if self.client is None:
                from openai import OpenAI
                self.client = OpenAI(
                    base_url=""https://openrouter.ai/api/v1"",
                    api_key=os.getenv(""OPENROUTER_API_KEY"", """"))
        
        # Environment will be created per-task
        self.env = None
        
        # Tool definition
        self.tools = [TERMINAL_TOOL_DEFINITION]
        
        print("" Mini-SWE Runner initialized"")
        print(f""   Model: {self.model}"")
        print(f""   Environment: {self.env_type}"")
        if self.env_type != ""local"":
            print(f""   Image: {self.image}"")
        print(f""   Max iterations: {self.max_iterations}"")
    
    def _create_env(self):
        """"""Create the execution environment.""""""
        print(f"" Creating {self.env_type} environment..."")
        self.env = create_environment(
            env_type=self.env_type,
            image=self.image,
            cwd=self.cwd,
            timeout=self.command_timeout
        )
        print(""✅ Environment ready"")
    
    def _cleanup_env(self):
        """"""Cleanup the execution environment.""""""
        if self.env is not None:
            if hasattr(self.env, 'cleanup'):
                self.env.cleanup()
            elif hasattr(self.env, 'stop'):
                self.env.stop()
            self.env = None
    
    def _execute_command(self, command: str, timeout: int = None) -> Dict[str, Any]:
        """"""
        Execute a command in the environment.
        
        Args:
            command: Bash command to execute
            timeout: Optional timeout override
            
        Returns:
            Dict with 'output' and 'returncode'
        """"""
        if self.env is None:
            self._create_env()
        
        try:
            result = self.env.execute(command, timeout=timeout or self.command_timeout)
            return {
                ""output"": result.get(""output"", """"),
                ""exit_code"": result.get(""returncode"", 0),
                ""error"": None
            }
        except Exception as e:
            return {
                ""output"": """",
                ""exit_code"": -1,
                ""error"": str(e)
            }
    
    def _format_tools_for_system_message(self) -> st
... [truncated]",""
"Class:mcp_serve.py:QueueEvent","QueueEvent","mcp_serve.py",176,181,true,"
@dataclass
class QueueEvent:
    """"""An event in the bridge's in-memory queue.""""""
    cursor: int
    type: str  # ""message"", ""approval_requested"", ""approval_resolved""
    session_key: str = """"
    data: dict = field(default_factory=dict)

",""
"Class:mcp_serve.py:EventBridge","EventBridge","mcp_serve.py",184,423,true,"

class EventBridge:
    """"""Background poller that watches SessionDB for new messages and
    maintains an in-memory event queue with waiter support.

    This is the Hermes equivalent of OpenClaw's WebSocket gateway bridge.
    Instead of WebSocket events, we poll the SQLite database for changes.
    """"""

    def __init__(self):
        self._queue: List[QueueEvent] = []
        self._cursor = 0
        self._lock = threading.Lock()
        self._new_event = threading.Event()
        self._running = False
        self._thread: Optional[threading.Thread] = None
        self._last_poll_timestamps: Dict[str, float] = {}  # session_key -> unix timestamp
        # In-memory approval tracking (populated from events)
        self._pending_approvals: Dict[str, dict] = {}
        # mtime cache — skip expensive work when files haven't changed
        self._sessions_json_mtime: float = 0.0
        self._state_db_mtime: float = 0.0
        self._cached_sessions_index: dict = {}

    def start(self):
        """"""Start the background polling thread.""""""
        if self._running:
            return
        self._running = True
        self._thread = threading.Thread(target=self._poll_loop, daemon=True)
        self._thread.start()
        logger.debug(""EventBridge started"")

    def stop(self):
        """"""Stop the background polling thread.""""""
        self._running = False
        self._new_event.set()  # Wake any waiters
        if self._thread:
            self._thread.join(timeout=5)
        logger.debug(""EventBridge stopped"")

    def poll_events(
        self,
        after_cursor: int = 0,
        session_key: Optional[str] = None,
        limit: int = 20,
    ) -> dict:
        """"""Return events since after_cursor, optionally filtered by session_key.""""""
        with self._lock:
            events = [
                e for e in self._queue
                if e.cursor > after_cursor
                and (not session_key or e.session_key == session_key)
            ][:limit]

        next_cursor = events[-1].cursor if events else after_cursor
        return {
            ""events"": [
                {""cursor"": e.cursor, ""type"": e.type,
                 ""session_key"": e.session_key, **e.data}
                for e in events
            ],
            ""next_cursor"": next_cursor,
        }

    def wait_for_event(
        self,
        after_cursor: int = 0,
        session_key: Optional[str] = None,
        timeout_ms: int = 30000,
    ) -> Optional[dict]:
        """"""Block until a matching event arrives or timeout expires.""""""
        deadline = time.monotonic() + (timeout_ms / 1000.0)

        while time.monotonic() < deadline:
            with self._lock:
                for e in self._queue:
                    if e.cursor > after_cursor and (
                        not session_key or e.session_key == session_key
                    ):
                        return {
                            ""cursor"": e.cursor, ""type"": e.type,
                            ""session_key"": e.session_key, **e.data,
                        }

            remaining = deadline - time.monotonic()
            if remaining <= 0:
                break
            self._new_event.clear()
            self._new_event.wait(timeout=min(remaining, POLL_INTERVAL))

        return None

    def list_pending_approvals(self) -> List[dict]:
        """"""List approval requests observed during this bridge session.""""""
        with self._lock:
            return sorted(
                self._pending_approvals.values(),
                key=lambda a: a.get(""created_at"", """"),
            )

    def respond_to_approval(self, approval_id: str, decision: str) -> dict:
        """"""Resolve a pending approval (best-effort without gateway IPC).""""""
        with self._lock:
            approval = self._pending_approvals.pop(approval_id, None)

        if not approval:
            return {""error"": f""Approval not found: {approval_id}""}

        self._enqueue(QueueEvent(
            cursor=0,  # Will be set by _enqueue
            type=""approval_resolved"",
            session_key=approval.get(""session_key"", """"),
            data={""approval_id"": approval_id, ""decision"": decision},
        ))

        return {""resolved"": True, ""approval_id"": approval_id, ""decision"": decision}

    def _enqueue(self, event: QueueEvent) -> None:
        """"""Add an event to the queue and wake any waiters.""""""
        with self._lock:
            self._cursor += 1
            event.cursor = self._cursor
            self._queue.append(event)
            # Trim queue to limit
            while len(self._queue) > QUEUE_LIMIT:
                self._queue.pop(0)
        self._new_event.set()

    def _poll_loop(self):
        """"""Background loop: poll SessionDB for new messages.""""""
        db = _get_session_db()
        if not db:
            logger.warning(""EventBridge: SessionDB unavailable, event polling disabled"")
            return

        while self._running:
            try:
                self._pol
... [truncated]",""
