id,label,heuristicLabel,keywords,description,enrichedBy,cohesion,symbolCount
"comm_827","Gateway","Gateway",[],"","heuristic",0.9273927392739274,129
"comm_283","Gateway","Gateway",[],"","heuristic",0.5203426124197003,125
"comm_22","Hermes_cli","Hermes_cli",[],"","heuristic",0.8097928436911488,100
"comm_789","Scripts","Scripts",[],"","heuristic",0.7306889352818372,84
"comm_197","Hermes_cli","Hermes_cli",[],"","heuristic",0.6325411334552102,81
"comm_30","Agent","Agent",[],"","heuristic",0.8324607329842932,72
"comm_100","Cron","Cron",[],"","heuristic",0.7203389830508474,71
"comm_39","Tests","Tests",[],"","heuristic",0.6372549019607843,69
"comm_89","Tools","Tools",[],"","heuristic",0.8842105263157894,58
"comm_706","Agent","Agent",[],"","heuristic",0.9595959595959596,57
"comm_104","Agent","Agent",[],"","heuristic",0.8695652173913043,50
"comm_270","Tools","Tools",[],"","heuristic",0.9051724137931034,47
"comm_497","Gateway","Gateway",[],"","heuristic",0.9507042253521126,47
"comm_656","Gateway","Gateway",[],"","heuristic",0.6397058823529411,44
"comm_125","Hermes_cli","Hermes_cli",[],"","heuristic",0.5602409638554217,40
"comm_72","Run_agent","Run_agent",[],"","heuristic",0.7956989247311828,39
"comm_672","Platforms","Platforms",[],"","heuristic",0.6229508196721312,39
"comm_868","Integration","Integration",[],"","heuristic",0.8480565371024735,33
"comm_493","Hermes_cli","Hermes_cli",[],"","heuristic",0.9142857142857143,32
"comm_568","Agent","Agent",[],"","heuristic",0.7570093457943925,32
"comm_609","Gateway","Gateway",[],"","heuristic",0.6346153846153846,31
"comm_878","Honcho","Honcho",[],"","heuristic",0.7437185929648241,31
"comm_386","Tools","Tools",[],"","heuristic",0.7857142857142857,30
"comm_316","Tools","Tools",[],"","heuristic",0.9487179487179487,28
"comm_77","Run_agent","Run_agent",[],"","heuristic",0.7542857142857143,27
"comm_225","Acp","Acp",[],"","heuristic",0.7747747747747747,27
"comm_236","Tools","Tools",[],"","heuristic",0.7121212121212122,27
"comm_457","Hermes_cli","Hermes_cli",[],"","heuristic",0.959349593495935,27
"comm_836","Plugins","Plugins",[],"","heuristic",0.8951048951048951,27
"comm_47","Gateway","Gateway",[],"","heuristic",0.44541484716157204,26
"comm_402","Tools","Tools",[],"","heuristic",0.4342105263157895,24
"comm_529","Hermes_cli","Hermes_cli",[],"","heuristic",0.7411764705882353,24
"comm_663","Run_agent","Run_agent",[],"","heuristic",0.7857142857142857,24
"comm_882","Honcho_plugin","Honcho_plugin",[],"","heuristic",0.9166666666666666,24
"comm_958","Gateway","Gateway",[],"","heuristic",0.9142857142857143,24
"comm_69","Run_agent","Run_agent",[],"","heuristic",0.8125,23
"comm_240","Tools","Tools",[],"","heuristic",0.928,23
"comm_526","Hermes_cli","Hermes_cli",[],"","heuristic",0.6666666666666666,23
"comm_1077","Cli","Cli",[],"","heuristic",0.8888888888888888,23
"comm_29","Run_agent","Run_agent",[],"","heuristic",0.48175182481751827,22
"comm_101","Gateway","Gateway",[],"","heuristic",0.5742574257425742,22
"comm_68","Run_agent","Run_agent",[],"","heuristic",0.7446808510638298,21
"comm_310","Tools","Tools",[],"","heuristic",0.8429752066115702,21
"comm_598","Gateway","Gateway",[],"","heuristic",0.3333333333333333,21
"comm_27","Agent","Agent",[],"","heuristic",0.3221476510067114,20
"comm_262","Tools","Tools",[],"","heuristic",0.8041237113402062,20
"comm_680","Agent","Agent",[],"","heuristic",0.9090909090909091,20
"comm_793","Scripts","Scripts",[],"","heuristic",0.9622641509433962,20
"comm_1004","Gateway","Gateway",[],"","heuristic",0.8740740740740741,20
"comm_1027","Gateway","Gateway",[],"","heuristic",0.6,20
"comm_1139","Platforms","Platforms",[],"","heuristic",0.9278350515463918,20
"comm_34","Run_agent","Run_agent",[],"","heuristic",0.82,19
"comm_285","Agent","Agent",[],"","heuristic",0.1606425702811245,19
"comm_436","Tests","Tests",[],"","heuristic",0.958904109589041,19
"comm_806","Run_agent","Run_agent",[],"","heuristic",0.9014084507042254,19
"comm_95","Tests","Tests",[],"","heuristic",0.759493670886076,18
"comm_183","Tools","Tools",[],"","heuristic",0.5470085470085471,18
"comm_255","Tools","Tools",[],"","heuristic",0.76,18
"comm_363","Tools","Tools",[],"","heuristic",0.6966292134831461,18
"comm_422","Gateway","Gateway",[],"","heuristic",0.7878787878787878,18
"comm_480","Hermes_cli","Hermes_cli",[],"","heuristic",0.8,18
"comm_550","Hermes_cli","Hermes_cli",[],"","heuristic",0.9142857142857143,18
"comm_646","Gateway","Gateway",[],"","heuristic",0.9072164948453608,18
"comm_1001","Gateway","Gateway",[],"","heuristic",0.7619047619047619,18
"comm_1016","Gateway","Gateway",[],"","heuristic",0.8791208791208791,18
"comm_1198","Holographic","Holographic",[],"","heuristic",0.8867924528301887,18
"comm_229","Tools","Tools",[],"","heuristic",0.5894736842105263,17
"comm_419","Tools","Tools",[],"","heuristic",0.6829268292682927,17
"comm_586","Gateway","Gateway",[],"","heuristic",0.8818897637795275,17
"comm_619","Gateway","Gateway",[],"","heuristic",0.6956521739130435,17
"comm_1052","Gateway","Gateway",[],"","heuristic",0.672,17
"comm_49","Run_agent","Run_agent",[],"","heuristic",0.7575757575757576,16
"comm_103","Tools","Tools",[],"","heuristic",0.36220472440944884,16
"comm_105","Tests","Tests",[],"","heuristic",0.37777777777777777,16
"comm_153","Hermes_cli","Hermes_cli",[],"","heuristic",0.5384615384615384,16
"comm_265","Tools","Tools",[],"","heuristic",0.8604651162790697,16
"comm_271","Tools","Tools",[],"","heuristic",0.7586206896551724,16
"comm_617","Gateway","Gateway",[],"","heuristic",0.7536231884057971,16
"comm_629","Gateway","Gateway",[],"","heuristic",0.37142857142857144,16
"comm_632","Gateway","Gateway",[],"","heuristic",0.9285714285714286,16
"comm_776","Tools","Tools",[],"","heuristic",1,16
"comm_784","Tools","Tools",[],"","heuristic",0.8333333333333334,16
"comm_922","Gateway","Gateway",[],"","heuristic",0.5567010309278351,16
"comm_978","Gateway","Gateway",[],"","heuristic",0.9180327868852459,16
"comm_1232","Scripts","Scripts",[],"","heuristic",0.8674698795180723,16
"comm_149","Cli","Cli",[],"","heuristic",0.384,15
"comm_280","Tools","Tools",[],"","heuristic",0.8615384615384616,15
"comm_520","Hermes_cli","Hermes_cli",[],"","heuristic",0.6052631578947368,15
"comm_545","Hermes_cli","Hermes_cli",[],"","heuristic",0.8615384615384616,15
"comm_576","Hermes_cli","Hermes_cli",[],"","heuristic",0.5321100917431193,15
"comm_603","Gateway","Gateway",[],"","heuristic",0.6933333333333334,15
"comm_634","Gateway","Gateway",[],"","heuristic",0.7714285714285715,15
"comm_716","Agent","Agent",[],"","heuristic",0.6904761904761905,15
"comm_883","Honcho_plugin","Honcho_plugin",[],"","heuristic",0.7142857142857143,15
"comm_938","Gateway","Gateway",[],"","heuristic",0.7526881720430108,15
"comm_953","Gateway","Gateway",[],"","heuristic",1,15
"comm_955","Gateway","Gateway",[],"","heuristic",0.9705882352941176,15
"comm_985","Gateway","Gateway",[],"","heuristic",0.5833333333333334,15
"comm_32","Agent","Agent",[],"","heuristic",0.5194805194805194,14
"comm_96","Tests","Tests",[],"","heuristic",0.6329113924050633,14
"comm_160","Tools","Tools",[],"","heuristic",0.6133333333333333,14
"comm_241","Tools","Tools",[],"","heuristic",0.6756756756756757,14
"comm_259","Tools","Tools",[],"","heuristic",0.7222222222222222,14
"comm_379","Tools","Tools",[],"","heuristic",0.6666666666666666,14
"comm_460","Hermes_cli","Hermes_cli",[],"","heuristic",0.5585585585585585,14
"comm_631","Gateway","Gateway",[],"","heuristic",0.6470588235294118,14
"comm_639","Gateway","Gateway",[],"","heuristic",0.7868852459016393,14
"comm_724","Agent","Agent",[],"","heuristic",0.7096774193548387,14
"comm_1053","Gateway","Gateway",[],"","heuristic",0.819672131147541,14
"comm_55","Run_agent","Run_agent",[],"","heuristic",0.6153846153846154,13
"comm_194","Tools","Tools",[],"","heuristic",0.5833333333333334,13
"comm_196","Tools","Tools",[],"","heuristic",0.7142857142857143,13
"comm_223","Tools","Tools",[],"","heuristic",0.8928571428571429,13
"comm_278","Tools","Tools",[],"","heuristic",0.9285714285714286,13
"comm_303","Tools","Tools",[],"","heuristic",0.6666666666666666,13
"comm_423","Gateway","Gateway",[],"","heuristic",0.5652173913043478,13
"comm_475","Hermes_cli","Hermes_cli",[],"","heuristic",0.5128205128205128,13
"comm_535","Hermes_cli","Hermes_cli",[],"","heuristic",0.49230769230769234,13
"comm_580","Hermes_cli","Hermes_cli",[],"","heuristic",0.6779661016949152,13
"comm_624","Platforms","Platforms",[],"","heuristic",0.5106382978723404,13
"comm_637","Gateway","Gateway",[],"","heuristic",0.5918367346938775,13
"comm_740","Tools","Tools",[],"","heuristic",0.8627450980392157,13
"comm_767","Tools","Tools",[],"","heuristic",0.8524590163934426,13
"comm_796","Scripts","Scripts",[],"","heuristic",0.8936170212765957,13
"comm_861","Tools","Tools",[],"","heuristic",0.9583333333333334,13
"comm_875","Honcho_plugin","Honcho_plugin",[],"","heuristic",0.8,13
"comm_902","Gateway","Gateway",[],"","heuristic",0.8813559322033898,13
"comm_928","Gateway","Gateway",[],"","heuristic",0.5714285714285714,13
"comm_957","Gateway","Gateway",[],"","heuristic",0.8333333333333334,13
"comm_1013","Platforms","Platforms",[],"","heuristic",0.6530612244897959,13
"comm_1036","Gateway","Gateway",[],"","heuristic",0.6896551724137931,13
"comm_1048","Gateway","Gateway",[],"","heuristic",0.75,13
"comm_1126","Platforms","Platforms",[],"","heuristic",0.6666666666666666,13
"comm_1174","Memory","Memory",[],"","heuristic",0.7692307692307693,13
"comm_5","Tests","Tests",[],"","heuristic",0.6666666666666666,12
"comm_21","Tests","Tests",[],"","heuristic",0.37037037037037035,12
"comm_24","Gateway","Gateway",[],"","heuristic",0.1278538812785388,12
"comm_107","Tests","Tests",[],"","heuristic",0.29333333333333333,12
"comm_147","Cli","Cli",[],"","heuristic",0.851063829787234,12
"comm_193","Tools","Tools",[],"","heuristic",0.5423728813559322,12
"comm_207","Gateway","Gateway",[],"","heuristic",0.5846153846153846,12
"comm_232","Tools","Tools",[],"","heuristic",0.8636363636363636,12
"comm_238","Tools","Tools",[],"","heuristic",0.5,12
"comm_289","Openviking","Openviking",[],"","heuristic",0.37383177570093457,12
"comm_394","Tools","Tools",[],"","heuristic",0.5625,12
"comm_499","Hermes_cli","Hermes_cli",[],"","heuristic",0.5070422535211268,12
"comm_524","Hermes_cli","Hermes_cli",[],"","heuristic",0.6857142857142857,12
"comm_566","Hermes_cli","Hermes_cli",[],"","heuristic",0.6571428571428571,12
"comm_614","Gateway","Gateway",[],"","heuristic",0.6551724137931034,12
"comm_731","Agent","Agent",[],"","heuristic",0.6666666666666666,12
"comm_838","Plugins","Plugins",[],"","heuristic",0.7142857142857143,12
"comm_946","Gateway","Gateway",[],"","heuristic",0.7307692307692307,12
"comm_1051","Gateway","Gateway",[],"","heuristic",0.6909090909090909,12
"comm_54","Run_agent","Run_agent",[],"","heuristic",0.7,11
"comm_66","Run_agent","Run_agent",[],"","heuristic",0.8333333333333334,11
"comm_85","Run_agent","Run_agent",[],"","heuristic",0.9,11
"comm_181","Tools","Tools",[],"","heuristic",0.6511627906976745,11
"comm_247","Tools","Tools",[],"","heuristic",0.6808510638297872,11
"comm_336","Tools","Tools",[],"","heuristic",0.625,11
"comm_388","Tools","Tools",[],"","heuristic",0.625,11
"comm_444","Orchestrator","Orchestrator",[],"","heuristic",0.625,11
"comm_601","Gateway","Gateway",[],"","heuristic",0.3389830508474576,11
"comm_660","Gateway","Gateway",[],"","heuristic",0.8780487804878049,11
"comm_727","Run_agent","Run_agent",[],"","heuristic",0.9411764705882353,11
"comm_867","Integration","Integration",[],"","heuristic",0.7407407407407407,11
"comm_885","Hermes_cli","Hermes_cli",[],"","heuristic",1,11
"comm_888","Hermes_cli","Hermes_cli",[],"","heuristic",0.8372093023255814,11
"comm_944","Gateway","Gateway",[],"","heuristic",0.5915492957746479,11
"comm_976","Gateway","Gateway",[],"","heuristic",0.723404255319149,11
"comm_987","Gateway","Gateway",[],"","heuristic",0.5405405405405406,11
"comm_992","Gateway","Gateway",[],"","heuristic",0.7555555555555555,11
"comm_1020","Gateway","Gateway",[],"","heuristic",0.6349206349206349,11
"comm_1024","Platforms","Platforms",[],"","heuristic",0.6190476190476191,11
"comm_1032","Platforms","Platforms",[],"","heuristic",0.7567567567567568,11
"comm_1044","Gateway","Gateway",[],"","heuristic",1,11
"comm_43","Cli","Cli",[],"","heuristic",0.22608695652173913,10
"comm_46","Cli","Cli",[],"","heuristic",0.6530612244897959,10
"comm_108","Cli","Cli",[],"","heuristic",0.43137254901960786,10
"comm_133","Hermes_cli","Hermes_cli",[],"","heuristic",0.7804878048780488,10
"comm_146","Tools","Tools",[],"","heuristic",0.9,10
"comm_204","Scripts","Scripts",[],"","heuristic",0.7692307692307693,10
"comm_205","Tools","Tools",[],"","heuristic",0.8372093023255814,10
"comm_276","Tools","Tools",[],"","heuristic",0.9411764705882353,10
"comm_290","Tools","Tools",[],"","heuristic",0.52,10
"comm_398","Gateway","Gateway",[],"","heuristic",0.6153846153846154,10
"comm_461","Hermes_cli","Hermes_cli",[],"","heuristic",0.4642857142857143,10
"comm_582","Hermes_cli","Hermes_cli",[],"","heuristic",0.6666666666666666,10
"comm_626","Gateway","Gateway",[],"","heuristic",0.8648648648648649,10
"comm_628","Cli","Cli",[],"","heuristic",0.7441860465116279,10
"comm_693","Agent","Agent",[],"","heuristic",0.5714285714285714,10
"comm_770","Tools","Tools",[],"","heuristic",0.8,10
"comm_939","Gateway","Gateway",[],"","heuristic",0.7755102040816326,10
"comm_1054","Gateway","Gateway",[],"","heuristic",1,10
"comm_1061","Gateway","Gateway",[],"","heuristic",0.6382978723404256,10
"comm_1083","Cli","Cli",[],"","heuristic",0.6206896551724138,10
"comm_1192","Honcho","Honcho",[],"","heuristic",0.4788732394366197,10
"comm_1218","Scripts","Scripts",[],"","heuristic",0.5526315789473685,10
"comm_52","Run_agent","Run_agent",[],"","heuristic",0.7777777777777778,9
"comm_56","Run_agent","Run_agent",[],"","heuristic",0.6486486486486487,9
"comm_63","Run_agent","Run_agent",[],"","heuristic",0.5263157894736842,9
"comm_65","Run_agent","Run_agent",[],"","heuristic",0.7878787878787878,9
"comm_74","Run_agent","Run_agent",[],"","heuristic",0.37209302325581395,9
"comm_83","Tests","Tests",[],"","heuristic",0.875,9
"comm_90","Environments","Environments",[],"","heuristic",0.5909090909090909,9
"comm_109","Tests","Tests",[],"","heuristic",0.47058823529411764,9
"comm_117","Hermes_cli","Hermes_cli",[],"","heuristic",0.16176470588235295,9
"comm_134","Cli","Cli",[],"","heuristic",0.9230769230769231,9
"comm_139","Cli","Cli",[],"","heuristic",0.6666666666666666,9
"comm_212","Tools","Tools",[],"","heuristic",0.8484848484848485,9
"comm_214","Tools","Tools",[],"","heuristic",0.5909090909090909,9
"comm_277","Gateway","Gateway",[],"","heuristic",0.7333333333333333,9
"comm_292","Tools","Tools",[],"","heuristic",0.7272727272727273,9
"comm_295","Gateway","Gateway",[],"","heuristic",0.6956521739130435,9
"comm_311","Tools","Tools",[],"","heuristic",0.6666666666666666,9
"comm_392","Tools","Tools",[],"","heuristic",0.8148148148148148,9
"comm_405","Tools","Tools",[],"","heuristic",0.6818181818181818,9
"comm_434","Tests","Tests",[],"","heuristic",0.8125,9
"comm_441","Scripts","Scripts",[],"","heuristic",0.9523809523809523,9
"comm_478","Hermes_cli","Hermes_cli",[],"","heuristic",0.6222222222222222,9
"comm_492","Hermes_cli","Hermes_cli",[],"","heuristic",0.7777777777777778,9
"comm_547","Hermes_cli","Hermes_cli",[],"","heuristic",0.6875,9
"comm_604","Gateway","Gateway",[],"","heuristic",0.4067796610169492,9
"comm_606","Gateway","Gateway",[],"","heuristic",0.42105263157894735,9
"comm_647","Gateway","Gateway",[],"","heuristic",0.7857142857142857,9
"comm_674","Cron","Cron",[],"","heuristic",0.717948717948718,9
"comm_687","Agent","Agent",[],"","heuristic",0.45161290322580644,9
"comm_692","Agent","Agent",[],"","heuristic",0.7272727272727273,9
"comm_697","Agent","Agent",[],"","heuristic",0.49056603773584906,9
"comm_699","Agent","Agent",[],"","heuristic",0.8125,9
"comm_703","Gateway","Gateway",[],"","heuristic",0.65,9
"comm_730","Agent","Agent",[],"","heuristic",0.5,9
"comm_768","Environments","Environments",[],"","heuristic",0.8125,9
"comm_828","Plugins","Plugins",[],"","heuristic",0.7096774193548387,9
"comm_830","Retaindb","Retaindb",[],"","heuristic",0.5333333333333333,9
"comm_910","Gateway","Gateway",[],"","heuristic",0.4,9
"comm_921","Gateway","Gateway",[],"","heuristic",0.7027027027027027,9
"comm_948","Gateway","Gateway",[],"","heuristic",0.6842105263157895,9
"comm_968","Gateway","Gateway",[],"","heuristic",0.47058823529411764,9
"comm_969","Gateway","Gateway",[],"","heuristic",0.9333333333333333,9
"comm_982","Gateway","Gateway",[],"","heuristic",0.5384615384615384,9
"comm_998","Gateway","Gateway",[],"","heuristic",0.8571428571428571,9
"comm_1017","Gateway","Gateway",[],"","heuristic",0.5517241379310345,9
"comm_1028","Gateway","Gateway",[],"","heuristic",0.7428571428571429,9
"comm_1080","Cli","Cli",[],"","heuristic",0.8,9
"comm_1101","Agent","Agent",[],"","heuristic",0.717948717948718,9
"comm_1227","Scripts","Scripts",[],"","heuristic",0.7333333333333333,9
"comm_4","Scripts","Scripts",[],"","heuristic",0.782608695652174,8
"comm_14","Tools","Tools",[],"","heuristic",0.5517241379310345,8
"comm_36","Run_agent","Run_agent",[],"","heuristic",0.6086956521739131,8
"comm_44","Tools","Tools",[],"","heuristic",0.5714285714285714,8
"comm_50","Run_agent","Run_agent",[],"","heuristic",0.96,8
"comm_51","Run_agent","Run_agent",[],"","heuristic",0.6363636363636364,8
"comm_58","Run_agent","Run_agent",[],"","heuristic",0.425531914893617,8
"comm_62","Cluster_62","Cluster_62",[],"","heuristic",0.55,8
"comm_111","Tests","Tests",[],"","heuristic",0.45161290322580644,8
