id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_cmd_mcp_configure","Cmd_mcp_configure → Get_hermes_home","Cmd_mcp_configure → Get_hermes_home","cross_community",9,"['comm_22','comm_197','comm_540','comm_539','comm_117']","Function:hermes_cli/mcp_config.py:cmd_mcp_configure","Function:hermes_constants.py:get_hermes_home"
"proc_1_text_to_speech_tool","Text_to_speech_tool → Get_hermes_home","Text_to_speech_tool → Get_hermes_home","cross_community",9,"['comm_201','comm_202','comm_197','comm_540','comm_22','comm_539','comm_117']","Function:tools/tts_tool.py:text_to_speech_tool","Function:hermes_constants.py:get_hermes_home"
"proc_2_process_loop","Process_loop → Flush","Process_loop → Flush","cross_community",8,"['comm_125','comm_156','comm_103','comm_292','comm_301','comm_1','comm_21']","Function:cli.py:HermesCLI.process_loop","Function:run_agent.py:_SafeWriter.flush"
"proc_3_process_loop","Process_loop → Fileno","Process_loop → Fileno","cross_community",8,"['comm_125','comm_156','comm_103','comm_292','comm_301','comm_1','comm_22']","Function:cli.py:HermesCLI.process_loop","Function:run_agent.py:_SafeWriter.fileno"
"proc_4_handle_enter","Handle_enter → Flush","Handle_enter → Flush","cross_community",8,"['comm_127','comm_103','comm_292','comm_301','comm_1','comm_21']","Function:cli.py:HermesCLI.handle_enter","Function:run_agent.py:_SafeWriter.flush"
"proc_5_handle_enter","Handle_enter → Fileno","Handle_enter → Fileno","cross_community",8,"['comm_127','comm_103','comm_292','comm_301','comm_1','comm_22']","Function:cli.py:HermesCLI.handle_enter","Function:run_agent.py:_SafeWriter.fileno"
"proc_6_main","Main → Count_tokens","Main → Count_tokens","cross_community",8,"['comm_4','comm_5','comm_10']","Function:trajectory_compressor.py:main","Function:trajectory_compressor.py:TrajectoryCompressor.count_tokens"
"proc_7_main","Main → Get_hermes_home","Main → Get_hermes_home","cross_community",8,"['comm_4','comm_100','comm_99','comm_117']","Function:scripts/sample_and_compress.py:main","Function:hermes_constants.py:get_hermes_home"
"proc_8_main","Main → TrajectoryMetrics","Main → TrajectoryMetrics","cross_community",8,"['comm_4','comm_5']","Function:scripts/sample_and_compress.py:main","Class:trajectory_compressor.py:TrajectoryMetrics"
"proc_9_cmd_insights","Cmd_insights → BillingRoute","Cmd_insights → BillingRoute","cross_community",8,"['comm_104','comm_704','comm_676','comm_677']","Function:hermes_cli/main.py:cmd_insights","Class:agent/usage_pricing.py:BillingRoute"
"proc_10_systemd_status","Systemd_status → Sleep","Systemd_status → Sleep","cross_community",8,"['comm_529','comm_526','comm_402','comm_24']","Function:hermes_cli/gateway.py:systemd_status","Method:landingpage/script.js:TerminalDemo.sleep#1"
"proc_11_systemd_status","Systemd_status → Resolve_gateway_approval","Systemd_status → Resolve_gateway_approval","cross_community",8,"['comm_529','comm_526','comm_402','comm_423']","Function:hermes_cli/gateway.py:systemd_status","Function:tools/approval.py:resolve_gateway_approval"
"proc_12_process_file","Process_file → Get_hermes_home","Process_file → Get_hermes_home","cross_community",8,"['comm_5','comm_157','comm_709','comm_125','comm_469','comm_117']","Function:trajectory_compressor.py:TrajectoryCompressor.process_file","Function:hermes_constants.py:get_hermes_home"
"proc_13_process_file","Process_file → SkinConfig","Process_file → SkinConfig","cross_community",8,"['comm_5','comm_157','comm_709','comm_125','comm_466']","Function:trajectory_compressor.py:TrajectoryCompressor.process_file","Class:hermes_cli/skin_engine.py:SkinConfig"
"proc_14_gateway_setup","Gateway_setup → Sleep","Gateway_setup → Sleep","cross_community",7,"['comm_22','comm_526','comm_529','comm_402','comm_24']","Function:hermes_cli/gateway.py:gateway_setup","Method:landingpage/script.js:TerminalDemo.sleep#1"
"proc_15_gateway_setup","Gateway_setup → Resolve_gateway_approval","Gateway_setup → Resolve_gateway_approval","cross_community",7,"['comm_22','comm_526','comm_529','comm_402','comm_423']","Function:hermes_cli/gateway.py:gateway_setup","Function:tools/approval.py:resolve_gateway_approval"
"proc_16_main","Main → EnvironmentInfo","Main → EnvironmentInfo","cross_community",7,"['comm_80','comm_81']","Function:rl_cli.py:main","Class:tools/rl_training_tool.py:EnvironmentInfo"
"proc_17_main","Main → Get_hermes_home","Main → Get_hermes_home","cross_community",7,"['comm_4','comm_100','comm_99','comm_117']","Function:trajectory_compressor.py:main","Function:hermes_constants.py:get_hermes_home"
"proc_18_main","Main → TrajectoryMetrics","Main → TrajectoryMetrics","cross_community",7,"['comm_4','comm_5']","Function:trajectory_compressor.py:main","Class:trajectory_compressor.py:TrajectoryMetrics"
"proc_19_main","Main → _find_protected_indices","Main → _find_protected_indices","cross_community",7,"['comm_4','comm_5','comm_11']","Function:trajectory_compressor.py:main","Function:trajectory_compressor.py:TrajectoryCompressor._find_protected_indices"
"proc_20_main","Main → _extract_turn_content_for_summary","Main → _extract_turn_content_for_summary","cross_community",7,"['comm_4','comm_5','comm_12']","Function:trajectory_compressor.py:main","Function:trajectory_compressor.py:TrajectoryCompressor._extract_turn_content_for_summary"
"proc_21_main","Main → _get_zoneinfo","Main → _get_zoneinfo","cross_community",7,"['comm_4','comm_100','comm_99']","Function:scripts/sample_and_compress.py:main","Function:hermes_time.py:_get_zoneinfo"
"proc_22_main","Main → To_dict","Main → To_dict","cross_community",7,"['comm_4','comm_5']","Function:scripts/sample_and_compress.py:main","Function:trajectory_compressor.py:TrajectoryMetrics.to_dict"
"proc_23_setup_gateway","Setup_gateway → Isatty","Setup_gateway → Isatty","cross_community",7,"['comm_22','comm_23']","Function:hermes_cli/setup.py:setup_gateway","Function:run_agent.py:_SafeWriter.isatty"
"proc_24_handle_tool_call","Handle_tool_call → Get_hermes_home","Handle_tool_call → Get_hermes_home","cross_community",7,"['comm_879','comm_1191','comm_1192','comm_535','comm_117']","Function:plugins/memory/honcho/__init__.py:HonchoMemoryProvider.handle_tool_call","Function:hermes_constants.py:get_hermes_home"
